id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,Brasil,63,M,Trujillo,La Libertad,2025-07-05,1,1930.0,
V0002,Chile,27,M,Arequipa,Arequipa,2025-06-21,10,1486.0,Auto
V0003,Perú,28,F,Lago Titicaca,Puno,2024-12-18,4,1089.0,Bus
V0004,España,72,M,Arequipa,Arequipa,2024-10-16,3,1626.0,
V0005,México,20,M,Huaraz,Áncash,2025-09-26,3,1219.0,Tren
V0006,España,41,M,Arequipa,Arequipa,2024-09-05,3,617.0,Auto
V0007,Perú,47,F,Paracas,Ica,2024-01-15,7,877.0,Bus
V0008,USA,63,F,Cusco Ciudad,Cusco,2024-08-04,3,1516.0,
V0009,Chile,39,F,Paracas,Ica,2025-03-22,3,1653.0,Avión
V0010,México,62,M,Huaraz,Áncash,2025-01-21,3,1495.0,Bus
V0011,España,15,F,Paracas,Ica,2025-09-07,3,1285.0,Tren
V0012,Argentina,33,M,Trujillo,La Libertad,2024-11-19,1,981.0,
V0013,Perú,38,M,Arequipa,Arequipa,2025-02-08,5,285.0,
V0014,México,36,F,Cusco Ciudad,Cusco,2025-02-18,1,1793.0,Bus
V0015,México,79,F,Huaraz,Áncash,2024-05-09,3,837.0,Auto
V0016,Brasil,74,F,Cusco Ciudad,Cusco,2025-02-05,7,1584.0,Bus
V0017,México,26,M,Lago Titicaca,Puno,2024-01-27,2,1166.0,Bus
V0018,Argentina,65,M,Paracas,Ica,2025-02-12,10,1020.0,Desconocido
V0019,México,52,F,Cusco Ciudad,Cusco,2024-04-07,3,1580.0,Tren
V0020,USA,29,F,Lago Titicaca,Puno,2025-08-26,3,1018.0,Bus
V0021,Colombia,55,F,Paracas,Ica,2024-11-08,3,1093.0,Avión
V0022,Argentina,44,F,Paracas,Ica,2025-01-05,3,1603.0,Desconocido
V0023,España,32,M,Huaraz,Áncash,2025-04-06,4,1641.0,Auto
V0024,Perú,65,F,Paracas,Ica,2025-02-14,2,1062.0,Bus
V0025,Perú,15,M,Machu Picchu,Cusco,2025-09-23,1,665.0,Avión
V0026,Argentina,21,F,Paracas,Ica,2024-03-31,3,1316.0,Tren
